Causes of death,Year,under 1 year_Male,1 to under 15 years_Male,15 to under 20 years_Male,20 to under 25 years_Male,25 to under 30 years_Male,30 to under 35 years_Male,35 to under 40 years_Male,40 to under 45 years_Male,45 to under 50 years_Male,50 to under 55 years_Male,55 to under 60 years_Male,60 to under 65 years_Male,65 to under 70 years_Male,70 to under 75 years_Male,75 to under 80 years_Male,80 to under 85 years_Male,85 years and over_Male,under 1 year_Female,1 to under 15 years_Female,15 to under 20 years_Female,20 to under 25 years_Female,25 to under 30 years_Female,30 to under 35 years_Female,35 to under 40 years_Female,40 to under 45 years_Female,45 to under 50 years_Female,50 to under 55 years_Female,55 to under 60 years_Female,60 to under 65 years_Female,65 to under 70 years_Female,70 to under 75 years_Female,75 to under 80 years_Female,80 to under 85 years_Female,85 years and over_Female
Malignant melanoma of skin,2017,-,-,-,2,3,7,21,31,51,96,102,124,156,183,317,272,228,-,2,-,2,6,10,14,26,49,77,73,86,118,125,195,178,281
Malignant neoplasms of breast,2017,-,-,-,-,-,-,2,-,2,8,17,13,20,20,30,41,39,-,1,-,1,19,83,172,275,647,1063,1263,1415,1796,1863,2920,2788,4092
"Malig. neoplasms of genital organs, urinary tract",2017,-,-,2,8,16,16,24,47,128,360,700,1267,2129,2765,5375,5222,6637,-,4,2,4,18,45,88,136,378,667,988,1270,1499,1783,2918,2875,3597
Malignant neoplasms of cervix uteri,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,6,21,52,62,126,169,190,198,140,122,179,137,184
"Malig. neopl. of corpus uteri,uterus, part unspec.",2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,6,5,7,40,82,160,217,295,325,531,490,545
Malignant neoplasms of ovary,2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,7,8,15,43,129,257,399,503,544,673,1067,889,836
Malignant neoplasms of prostate,2017,-,-,-,-,-,-,-,-,12,94,239,564,1088,1577,3318,3187,4239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Malignant neoplasms of kidney, except renal pelvis",2017,-,-,-,3,3,4,6,17,46,117,182,267,387,381,634,579,529,-,4,-,1,-,3,5,5,22,39,69,98,160,197,377,426,579
Malignant neoplasms of bladder,2017,-,-,-,-,-,2,3,6,25,54,121,193,291,371,751,832,1199,-,-,-,-,1,5,4,5,14,47,57,88,120,167,274,393,683
"Malig. neopl.of lymphoid,haematopoietic,rel.tissue",2017,1,24,16,29,24,35,44,59,134,264,467,679,986,1401,2515,2222,1861,2,18,8,14,22,23,31,51,87,185,260,434,646,935,1846,1879,2335
Leukaemia,2017,1,23,12,19,18,24,28,24,48,101,156,250,382,574,1052,971,838,2,15,4,6,18,17,19,21,43,74,118,177,257,367,749,713,1053
Benign neoplasms,2017,2,-,-,-,1,-,2,5,9,9,20,20,19,36,63,50,68,-,1,-,1,1,-,2,2,6,14,20,26,19,30,70,98,174
Diseases of the blood and blood-forming organs,2017,8,14,3,11,7,9,9,9,16,44,51,81,114,149,284,308,514,6,4,5,2,5,10,9,11,22,27,44,65,73,100,273,389,1008
"Endocrine, nutritional and metabolic diseases",2017,10,31,13,16,30,56,77,124,245,462,695,1004,1307,1427,2529,2941,4153,14,23,6,16,19,19,36,56,127,192,296,492,704,932,2137,3517,10202
Diabetes mellitus,2017,-,2,4,5,12,27,23,56,122,281,456,737,989,1109,2029,2424,3136,-,2,-,3,4,6,13,23,63,99,165,292,458,639,1589,2706,7381
Mental and behavioural disorders,2017,1,3,10,23,48,112,153,237,404,714,808,885,886,1015,2646,3888,8159,-,2,5,6,16,33,33,58,107,187,219,294,413,810,2529,5172,22761
Mental and behav. disorders due to use of alcohol,2017,-,-,-,3,9,46,53,146,291,553,662,698,577,326,359,213,95,-,-,-,-,4,13,10,30,67,114,133,155,156,118,125,78,78
Mental a.behav. dis. due to oth. psychoactive sub.,2017,-,-,7,12,30,58,84,73,80,87,60,30,10,-,2,1,-,-,-,1,1,4,10,15,16,21,17,13,13,5,5,6,2,8
Diseases of the nervous system and sensory organs,2017,22,46,36,48,71,85,89,117,233,423,568,736,1079,1582,3413,3777,4026,21,56,27,28,40,33,54,63,148,262,435,575,857,1127,2577,3346,6393
Meningitis,2017,-,1,-,1,2,-,-,1,-,6,5,4,4,2,18,10,6,-,1,-,-,-,-,2,1,2,4,5,6,6,5,16,7,11
Diseases of the circulatory system,2017,20,21,25,63,84,169,310,633,1569,3298,5390,7623,10819,13376,26507,32008,54262,17,25,21,39,60,77,153,224,527,1055,1757,2733,4585,7529,18900,32698,117947
Hypertensive diseases,2017,-,1,1,-,5,5,16,38,88,193,287,465,672,844,1827,2780,6478,-,-,-,1,1,1,5,6,26,61,128,226,380,684,2064,4395,21900
Ischaemic heart diseases,2017,-,-,2,6,12,36,89,262,749,1618,2810,3950,5473,6359,11954,13874,21600,-,-,3,4,10,10,24,54,135,316,573,1021,1694,2590,6182,10075,34129
Acute or subsequent myocardial infarction,2017,-,-,1,4,10,30,65,198,539,1152,1803,2300,2811,2850,4768,4709,5890,-,-,1,2,6,9,17,33,109,221,380,614,992,1275,2774,3797,9606
Other forms of heart disease,2017,13,13,12,34,34,63,100,151,308,624,943,1282,1730,2278,4931,6444,13042,11,16,11,9,12,17,33,36,88,195,314,483,817,1504,3958,7629,31423
Other diseases of endocardium,2017,1,1,1,3,6,8,12,25,25,83,130,181,322,467,928,1267,2324,-,-,-,2,1,4,9,3,10,30,42,73,160,289,750,1582,5167
Cerebrovascular diseases,2017,-,5,5,9,7,22,42,65,175,365,625,973,1567,2246,4612,5407,7655,2,5,3,11,18,25,37,69,160,252,396,518,860,1502,3945,6177,17644
"Stroke, not specified as haemorrhage or infarction",2017,-,-,-,-,-,1,1,6,9,42,76,135,254,372,860,1160,1982,-,-,-,1,-,1,4,3,7,23,32,52,118,256,721,1372,5099
"Diseases of arteries, arterioles and capillaries",2017,1,1,1,4,8,11,18,33,82,178,270,370,539,641,1138,1167,1763,1,-,-,2,1,6,10,17,32,70,110,166,261,403,754,1105,3577
Diseases of the respiratory system,2017,6,16,5,12,17,38,37,66,199,497,1078,1909,3031,4113,6990,7358,10838,5,18,12,13,14,17,22,34,108,299,712,1340,1918,2551,4647,5748,14740
Influenza,2017,-,2,-,1,1,-,3,2,5,11,9,20,37,46,98,146,236,1,1,2,-,1,1,2,-,2,6,9,13,9,36,64,98,314
Pneumonia,2017,2,4,3,5,3,15,15,18,57,103,171,302,485,750,1549,2127,4107,1,7,2,6,6,9,6,12,22,48,93,162,216,385,1050,1700,6137
Chronic lower respiratory diseases,2017,-,3,-,1,5,7,8,26,81,299,707,1272,2050,2620,3972,3618,4435,-,2,1,2,2,2,3,11,54,198,520,1019,1472,1840,2737,2924,5622
Asthma,2017,-,1,-,1,4,4,5,7,6,16,22,20,24,31,62,39,82,-,2,1,1,-,1,-,3,13,16,29,35,50,45,80,128,243
"COVID-19, virus detected",2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"COVID-19, virus not detected",2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Diseases of the digestive system,2017,9,10,2,8,20,93,198,304,738,1421,1970,2285,2448,2164,3288,3027,3762,5,11,3,6,14,43,69,137,298,609,880,996,1303,1400,2530,3210,7777
"Gastric, duodenal, peptic, gastrojejunal ulcer",2017,-,-,-,1,-,1,4,3,18,30,63,72,106,109,191,220,332,-,-,-,1,1,-,-,-,8,9,26,38,47,70,133,214,631
Diseases of liver,2017,4,3,1,2,9,62,144,241,563,1073,1432,1606,1537,1097,1267,804,536,1,3,-,-,6,32,48,104,221,452,612,616,731,595,763,625,682
"Alcohol. liver dis.,chr. hepatitis,fibrosis,cirrh.",2017,-,-,1,2,6,56,139,233,543,1040,1368,1545,1422,1002,1149,703,390,-,1,-,-,3,26,40,94,205,426,576,572,665,507,661,500,447
Diseases of the skin and subcutaneous tissue,2017,-,-,-,-,-,2,2,6,12,13,19,37,44,66,98,123,177,-,-,1,2,1,-,3,4,8,10,22,24,30,47,139,183,492
Diseases of musculoskeletal sys. a. connec. tissue,2017,2,1,2,2,3,4,7,18,24,49,78,105,140,202,302,342,472,-,2,2,3,3,4,8,2,21,49,73,102,140,207,453,576,1414
Chronic polyarthritis and arthrosis,2017,-,-,-,-,-,-,-,4,2,12,12,13,23,47,74,75,141,-,-,-,-,-,-,1,-,-,7,13,17,34,49,113,185,401
Diseases of the genitourinary system,2017,1,2,-,-,4,13,6,13,29,100,165,256,490,739,1795,2371,4548,4,2,-,1,4,4,11,7,26,60,80,174,276,562,1396,2546,7786
Disorders of kidney,2017,1,1,-,-,4,10,6,12,21,71,129,194,356,549,1325,1738,3425,4,1,-,1,2,2,6,4,15,42,58,135,196,395,985,1877,6051
"Pregnancy, childbirth and the puerperium",2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,6,5,9,1,-,-,-,-,-,-,-,-,-
Certain conditions origin. in the perinatal period,2017,764,7,6,6,4,4,1,2,9,6,7,3,5,2,5,6,1,591,12,-,1,2,-,2,-,4,5,2,7,5,1,4,7,2
"Congenital malform.,deform. a. chromosomal abnorm.",2017,399,71,15,16,28,18,18,27,29,62,88,92,68,30,41,30,44,350,68,15,15,14,18,20,13,34,64,67,67,65,34,40,42,68
Congenital malformations of the nervous system,2017,39,16,2,-,2,3,4,4,3,2,2,3,1,-,3,1,2,42,13,5,4,-,4,5,3,-,5,2,2,3,-,2,3,-
Congenital malformations of the circulatory system,2017,148,22,6,1,10,7,4,11,5,16,7,12,9,14,18,17,20,111,20,3,2,3,4,8,4,6,6,7,6,16,5,16,25,41
"Symp., signs a. abnormal clinical a. lab. findings",2017,138,79,53,93,138,208,313,364,772,1311,1765,1897,1908,1748,2200,1811,2208,105,54,33,44,67,100,110,159,279,446,553,754,861,1006,1559,1713,4580
Sudden infant death syndrome,2017,73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Other ill-defined and unknown causes of mortality,2017,57,77,51,91,137,205,309,358,756,1276,1719,1846,1828,1667,2027,1613,1517,45,54,32,43,64,95,107,151,265,432,538,731,811,946,1416,1441,2463
External causes of morbidity and mortality,2017,15,110,379,601,678,781,833,769,1195,1540,1630,1550,1523,1483,2765,2990,4696,11,87,129,174,149,213,188,192,342,558,554,560,611,859,1749,2523,7416
"Accidents, including their sequelae",2017,7,74,220,316,324,354,386,338,499,694,831,913,961,990,1990,2321,4003,7,60,70,91,66,85,68,66,135,219,290,314,411,648,1440,2273,6960
Transport accidents,2017,1,29,153,211,184,145,128,117,172,227,210,177,144,119,215,157,125,2,24,53,58,34,34,26,19,45,68,66,55,53,70,106,98,82
Falls,2017,1,5,9,18,23,23,41,42,70,148,207,298,401,450,1023,1413,2807,2,8,3,2,5,8,6,12,20,42,74,110,170,304,734,1407,4792
Accidental drowning and submersion,2017,-,12,13,17,18,15,8,13,10,12,25,24,23,19,31,23,14,-,13,4,1,-,4,2,2,6,4,7,3,7,8,18,10,16
"Exposure to smoke, fire and flames",2017,-,1,-,2,5,5,7,4,10,23,26,28,22,18,29,16,16,-,1,1,1,2,2,3,1,4,3,6,6,5,15,17,18,38
Accid. poisoning by and exposure to noxious subst.,2017,-,-,18,34,52,102,127,91,93,84,66,56,19,16,22,25,10,-,-,7,13,11,18,20,12,19,20,27,24,9,11,21,28,41
Intentional self-harm,2017,-,16,132,233,295,342,369,346,602,735,701,550,490,421,644,568,541,-,12,52,70,57,105,92,98,160,291,231,196,160,155,231,152,188
Assault,2017,7,14,7,12,13,14,11,14,12,18,11,11,8,8,14,4,4,2,7,3,5,11,11,12,14,22,16,5,14,10,8,6,15,9
Event of undetermined intent,2017,1,5,20,38,45,68,66,68,81,92,83,74,61,63,116,96,146,2,6,4,8,16,12,16,14,24,31,27,35,30,46,69,82,255
Total,2017,1418,531,609,1007,1278,1831,2494,3427,7475,14748,22800,30747,39834,45746,80099,83621,120091,1148,476,295,410,556,882,1258,1887,4277,8134,12271,16947,22893,29842,59135,81722,232374
Certain infectious and parasitic diseases,2018,12,19,4,5,21,24,42,70,139,267,399,502,609,776,1400,1715,2482,9,25,5,3,9,21,27,43,41,101,186,262,403,543,1205,1887,4541
"Tuberculosis, including its sequelae",2018,-,-,1,-,2,2,1,10,4,13,12,11,15,20,24,27,45,-,-,-,2,-,-,1,2,-,5,2,7,6,9,12,23,35
Meningococcal infection,2018,2,5,1,1,1,-,1,-,-,1,1,1,-,-,-,-,-,1,7,-,-,-,1,1,-,-,-,-,-,-,1,1,1,2
Viral hepatitis,2018,-,-,-,-,1,6,9,16,29,49,55,49,37,32,41,31,26,-,-,-,-,-,2,2,7,7,12,17,24,27,19,43,61,72
HIV disease,2018,-,-,-,2,1,8,14,11,36,42,43,31,13,15,20,5,2,1,-,-,-,1,2,8,8,2,9,7,3,2,1,2,2,3
Neoplasms,2018,6,147,69,101,142,211,371,681,1741,4423,8184,12045,15755,16701,24965,22767,20440,9,95,42,61,119,292,585,882,1976,3981,6557,8655,10987,11762,18634,19516,25443
Malignant neoplasms,2018,5,137,68,98,136,205,364,660,1699,4348,8057,11862,15489,16317,24231,21889,19245,7,87,42,60,115,283,577,868,1950,3932,6479,8533,10782,11467,18026,18543,23470
"Malignant neoplasms of lip, oral cavity, pharynx",2018,-,-,-,2,4,5,12,32,94,290,572,719,688,482,537,321,212,-,1,-,2,-,3,7,5,17,64,150,187,190,170,202,178,266
Malignant neoplasms of oesophagus,2018,-,-,-,-,1,4,12,25,94,277,494,608,634,621,676,506,326,-,-,-,-,-,-,5,6,27,49,90,138,153,172,225,197,296
Malignant neoplasms of stomach,2018,-,-,1,2,1,11,23,40,116,255,376,510,636,624,930,903,759,-,-,-,3,5,17,30,30,79,123,196,251,299,332,594,699,1016
Malignant neoplasms of colon,2018,-,1,1,1,5,14,23,46,93,236,423,620,860,1034,1630,1635,1639,-,-,-,2,2,12,16,47,94,166,316,371,567,647,1297,1465,2685
"Malig. neopl. of rectum,anus,rectosigmoid junction",2018,-,-,-,1,4,3,19,31,85,187,320,514,669,679,884,784,689,-,-,-,-,1,8,13,26,62,116,189,254,278,321,545,620,955
"Malignant neoplasms of liver, bile ducts, pancreas",2018,-,3,2,3,8,10,26,62,233,595,1075,1660,2229,2306,3383,2721,1880,1,1,4,1,4,12,20,50,119,362,623,985,1378,1677,2731,2919,2962
"Malig. neoplasms of liver, intrahepatic bile ducts",2018,-,3,1,3,5,7,11,11,62,173,321,558,769,810,1150,883,534,1,1,3,1,4,7,8,15,26,85,126,187,298,351,496,532,548
Malignant neoplasms of pancreas,2018,-,-,1,-,3,2,15,44,148,371,676,973,1235,1291,1863,1503,1064,-,-,1,-,-,2,12,32,80,234,423,657,905,1107,1855,1921,1914
"Malig. neoplasms of larynx,trachea,bronchus,lung",2018,-,-,-,1,4,13,38,103,361,1147,2457,3777,4784,4449,5635,4197,2600,1,-,-,1,3,6,28,74,270,723,1516,2251,2666,2471,2818,2005,1884
Malignant neoplasms of bronchus and lung,2018,-,-,-,1,3,12,35,99,350,1093,2348,3617,4601,4279,5407,4029,2476,1,-,-,1,3,6,28,74,270,712,1504,2225,2625,2442,2789,1978,1845
Melanoma and other malignant neoplasms of skin,2018,-,1,1,4,5,18,17,25,56,99,108,161,209,251,405,444,498,-,-,1,2,1,12,18,12,35,85,89,88,123,113,211,268,548
Malignant melanoma of skin,2018,-,1,1,3,5,18,16,24,51,86,105,143,178,211,314,316,294,-,-,-,2,1,12,17,12,35,77,83,80,109,95,173,203,277
Malignant neoplasms of breast,2018,-,-,-,-,1,-,2,4,1,5,11,15,18,28,37,42,31,-,-,-,3,25,76,194,297,596,1023,1309,1416,1750,1847,2841,3092,4122
"Malig. neoplasms of genital organs, urinary tract",2018,-,4,2,5,9,17,38,42,124,334,750,1355,2173,2818,5247,5733,6785,-,5,1,4,21,58,94,147,319,625,1016,1238,1560,1700,2856,3053,3524
Malignant neoplasms of cervix uteri,2018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,9,36,45,61,103,152,207,173,187,160,162,141,175
"Malig. neopl. of corpus uteri,uterus, part unspec.",2018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,5,18,29,78,152,201,300,293,521,477,555
Malignant neoplasms of ovary,2018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,4,8,12,26,44,120,253,411,500,577,612,1024,960,774
Malignant neoplasms of prostate,2018,-,-,-,-,-,-,2,3,15,76,263,578,1136,1647,3257,3549,4437,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Malignant neoplasms of kidney, except renal pelvis",2018,-,4,-,-,-,2,9,12,52,109,190,291,371,361,610,566,531,-,3,1,-,-,3,3,5,12,36,80,98,142,189,336,462,561
Malignant neoplasms of bladder,2018,-,-,-,-,-,1,3,5,20,62,126,223,298,388,704,899,1133,-,-,-,-,-,2,3,8,23,40,49,86,112,127,301,384,705
"Malig. neopl.of lymphoid,haematopoietic,rel.tissue",2018,1,45,24,36,35,33,52,65,105,283,441,661,1010,1405,2423,2402,1952,2,26,3,15,17,23,44,49,101,160,280,429,674,871,1819,2070,2357
Leukaemia,2018,1,38,18,29,17,22,24,28,47,98,175,271,399,581,1004,962,874,2,24,1,12,13,19,31,31,46,66,118,177,251,356,711,778,1046
Benign neoplasms,2018,-,1,-,1,3,1,-,4,6,11,16,16,16,34,54,65,88,-,2,-,-,1,2,1,5,3,13,9,20,25,35,78,96,159
Diseases of the blood and blood-forming organs,2018,5,6,5,4,5,12,9,8,30,50,58,104,142,148,258,311,467,2,9,4,3,5,7,9,13,21,28,39,61,99,132,313,367,1047
"Endocrine, nutritional and metabolic diseases",2018,14,32,21,30,26,51,75,122,243,444,723,931,1349,1406,2573,3207,4349,13,19,7,12,23,25,31,55,120,212,297,485,765,922,2212,3682,10164
Diabetes mellitus,2018,-,-,9,9,7,16,33,57,140,282,464,647,1029,1096,1997,2610,3256,1,1,2,5,8,6,8,21,53,109,164,285,499,630,1573,2754,7085
Mental and behavioural disorders,2018,-,3,4,25,43,107,155,263,351,642,856,904,984,1170,2831,4530,8858,1,4,7,9,15,41,40,68,102,175,269,284,453,825,2836,6160,25038
Mental and behav. disorders due to use of alcohol,2018,-,-,-,4,8,41,67,146,244,480,678,707,633,343,344,206,91,-,-,-,1,2,8,10,34,53,93,178,166,154,115,136,86,75
Mental a.behav. dis. due to oth. psychoactive sub.,2018,-,-,4,15,27,53,79,93,80,81,61,30,17,4,8,3,2,-,-,4,4,6,19,24,21,19,22,12,5,6,6,4,7,8
Diseases of the nervous system and sensory organs,2018,25,75,48,41,63,77,82,105,207,435,628,791,1190,1622,3530,4276,4383,20,53,19,32,33,38,53,69,127,299,473,648,902,1205,2712,3780,6851
Meningitis,2018,3,1,-,1,1,1,1,2,2,4,4,2,10,5,15,7,6,1,2,-,2,-,-,3,1,1,5,6,2,10,5,12,12,13
Diseases of the circulatory system,2018,17,21,22,53,94,177,370,626,1392,3174,5506,7905,10968,13046,25078,33717,55116,13,37,22,25,43,93,141,207,537,1100,1746,2944,4883,7343,18213,33373,117272
Hypertensive diseases,2018,-,-,-,1,5,7,14,21,76,163,336,454,714,841,1881,3063,6720,1,2,-,1,-,3,5,18,25,58,117,191,394,727,2112,4512,21813
Ischaemic heart diseases,2018,1,-,-,9,12,35,138,229,650,1576,2780,4086,5404,6139,11236,14382,21497,-,-,1,1,3,12,24,43,151,333,583,1055,1763,2409,5740,10174,33509
Acute or subsequent myocardial infarction,2018,-,-,-,8,11,24,105,173,470,1107,1805,2351,2871,2810,4426,4895,5828,-,-,1,1,1,10,15,29,116,232,389,650,962,1201,2483,3868,9365
Other forms of heart disease,2018,13,8,13,20,40,58,91,149,287,604,966,1251,1766,2241,4551,6767,13485,9,25,11,9,10,21,30,47,91,192,310,526,897,1496,3876,7773,31333
Other diseases of endocardium,2018,-,2,1,5,9,9,7,20,39,95,133,192,347,444,1012,1518,2492,-,-,2,-,-,4,8,5,14,30,54,89,154,269,805,1665,5488
Cerebrovascular diseases,2018,2,6,5,7,14,26,53,89,141,363,656,1059,1614,2198,4303,5617,7606,3,4,2,5,12,25,31,45,127,275,378,617,943,1477,3778,6337,17469
"Stroke, not specified as haemorrhage or infarction",2018,-,-,-,-,1,1,-,7,9,38,68,138,246,365,804,1166,1879,-,-,-,-,-,-,1,2,6,16,30,90,124,238,660,1382,4753
"Diseases of arteries, arterioles and capillaries",2018,-,1,1,2,6,9,25,38,91,138,307,434,608,636,1156,1203,1771,-,-,-,-,3,2,6,14,41,77,106,187,287,450,777,1130,3403
Diseases of the respiratory system,2018,16,24,12,14,23,25,51,75,231,569,1266,2126,3241,4246,7188,7962,11184,11,17,3,14,18,16,29,49,125,341,744,1375,2190,2799,4686,6275,14774
Influenza,2018,1,7,3,2,1,3,9,7,35,56,84,103,127,150,266,259,415,-,9,2,4,3,5,7,10,19,21,40,68,82,99,192,280,660
Pneumonia,2018,7,6,4,7,8,8,9,20,59,112,249,315,545,728,1639,2323,4209,4,1,1,3,8,3,7,11,30,50,108,152,255,389,970,1788,6199
Chronic lower respiratory diseases,2018,1,3,-,-,3,6,15,28,85,304,753,1365,2121,2699,3949,3778,4451,1,-,-,3,2,3,6,12,48,211,513,1020,1641,2011,2766,3139,5400
Asthma,2018,-,2,-,-,1,2,4,8,15,21,33,28,29,16,43,60,98,-,-,-,3,-,3,1,4,13,22,24,34,48,42,71,128,281
"COVID-19, virus detected",2018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"COVID-19, virus not detected",2018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Diseases of the digestive system,2018,8,6,6,12,30,71,196,338,690,1357,2041,2453,2552,2145,3114,3139,3746,5,8,3,6,25,38,78,123,304,581,907,1084,1301,1400,2401,3331,7575
"Gastric, duodenal, peptic, gastrojejunal ulcer",2018,-,-,-,-,2,1,4,9,20,46,68,73,100,105,181,240,343,-,-,-,-,-,1,1,3,8,18,24,26,58,74,132,241,648
Diseases of liver,2018,1,1,1,3,15,50,142,258,502,979,1472,1622,1604,1068,1189,867,528,2,6,-,3,15,24,60,93,219,418,635,662,696,598,738,677,630
"Alcohol. liver dis.,chr. hepatitis,fibrosis,cirrh.",2018,-,1,-,1,13,44,135,245,483,940,1400,1565,1497,965,1067,741,403,1,2,-,1,9,17,57,85,199,390,583,616,633,528,619,531,399
Diseases of the skin and subcutaneous tissue,2018,-,-,-,1,-,2,5,1,5,13,26,34,46,58,113,122,173,-,-,-,-,1,8,-,4,8,8,18,25,46,61,119,187,513
Diseases of musculoskeletal sys. a. connec. tissue,2018,1,6,2,-,-,5,9,8,22,53,77,107,151,195,383,373,519,-,3,5,2,5,6,7,15,22,42,65,92,148,193,455,619,1623
Chronic polyarthritis and arthrosis,2018,-,-,-,-,-,1,2,-,1,6,21,27,35,46,82,94,117,-,-,-,-,2,-,-,-,1,7,13,21,37,52,114,193,468
Diseases of the genitourinary system,2018,2,2,-,-,3,10,10,14,36,119,167,279,520,805,1703,2549,4785,-,-,2,1,3,6,8,19,26,69,112,176,326,504,1439,2701,8323
Disorders of kidney,2018,2,1,-,-,3,9,8,11,24,84,118,194,364,584,1226,1864,3571,-,-,2,1,1,5,4,15,16,49,84,115,242,373,1017,1947,6468
"Pregnancy, childbirth and the puerperium",2018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,7,9,3,1,-,-,-,-,-,-,-,-
Certain conditions origin. in the perinatal period,2018,773,7,3,2,4,2,2,4,2,8,7,7,7,8,5,3,3,572,3,1,4,2,2,-,2,-,3,4,3,3,3,5,2,8
"Congenital malform.,deform. a. chromosomal abnorm.",2018,369,72,25,22,20,18,18,25,39,70,123,95,56,35,36,37,38,327,76,13,14,21,17,20,20,37,46,81,82,67,45,53,50,67
Congenital malformations of the nervous system,2018,22,18,3,4,3,2,4,1,3,-,1,2,3,-,-,1,4,43,23,2,3,2,-,3,4,2,2,2,1,-,2,2,2,2
Congenital malformations of the circulatory system,2018,107,19,10,4,7,8,4,8,10,14,15,22,6,12,21,17,13,103,18,6,2,10,7,5,5,17,5,17,11,9,11,25,28,30
"Symp., signs a. abnormal clinical a. lab. findings",2018,125,71,47,102,150,199,331,448,811,1480,1950,2148,2219,1842,2399,2029,2517,107,46,44,32,62,88,118,164,277,465,647,838,1028,1078,1673,1931,5127
Sudden infant death syndrome,2018,73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Other ill-defined and unknown causes of mortality,2018,49,69,45,101,147,196,326,435,798,1442,1895,2091,2130,1760,2257,1772,1757,58,43,43,30,60,86,114,161,271,454,623,817,974,1023,1518,1628,2815
External causes of morbidity and mortality,2018,26,127,371,642,657,733,751,799,1090,1568,1705,1547,1599,1552,2937,3288,5117,17,95,127,151,166,208,201,224,307,531,590,592,671,867,1832,2802,7664
"Accidents, including their sequelae",2018,12,112,217,320,306,330,326,370,489,699,840,890,989,1040,2108,2620,4339,13,73,64,71,75,85,88,85,116,214,289,377,460,674,1533,2496,7154
Transport accidents,2018,2,46,154,219,166,148,119,141,173,230,255,217,173,132,212,213,139,5,28,46,54,44,38,26,28,35,54,59,61,54,76,98,90,87
Falls,2018,2,7,7,19,16,37,33,44,78,147,182,296,429,496,1193,1638,3144,2,11,4,3,3,9,11,12,17,50,88,136,166,329,882,1624,5086
Accidental drowning and submersion,2018,1,26,20,10,22,8,11,10,19,19,25,11,28,31,26,30,24,-,11,-,3,4,2,5,1,4,7,6,9,10,14,20,17,10
"Exposure to smoke, fire and flames",2018,-,2,-,4,2,7,4,7,15,17,20,22,20,16,24,24,10,-,2,1,-,-,2,1,3,3,4,8,11,10,8,14,20,25
Accid. poisoning by and exposure to noxious subst.,2018,-,4,9,32,54,88,106,94,92,91,55,56,31,23,19,21,31,-,4,7,4,14,21,28,20,27,35,25,17,21,17,26,21,27
Intentional self-harm,2018,-,8,132,276,300,339,357,348,522,767,739,558,508,431,675,559,592,-,5,47,62,76,93,86,115,165,288,255,175,159,155,220,192,192
Assault,2018,11,5,4,8,8,9,15,16,8,12,22,12,11,3,10,6,9,3,14,10,8,6,16,14,10,4,9,9,10,12,4,13,10,14
Event of undetermined intent,2018,3,2,18,37,42,54,51,62,70,89,97,84,85,75,139,101,172,1,3,6,9,8,14,13,14,20,20,37,26,39,34,64,102,299
Total,2018,1399,618,639,1054,1281,1724,2477,3587,7029,14672,23716,31978,41388,45755,78513,90025,124177,1106,490,304,369,555,913,1356,1960,4031,7982,12735,17606,24272,29682,58788,86663,236030
Certain infectious and parasitic diseases,2019,13,17,6,10,20,26,46,69,114,216,330,442,589,764,1315,1721,2197,6,15,2,5,7,16,16,31,58,86,170,213,399,499,1013,1739,4024
"Tuberculosis, including its sequelae",2019,-,1,1,2,2,1,4,6,3,10,12,15,15,13,29,35,33,-,-,1,1,1,1,2,-,1,-,3,2,3,10,19,26,34
Meningococcal infection,2019,-,1,1,1,1,-,-,-,2,-,2,1,1,-,1,1,-,2,2,-,-,-,-,-,-,2,-,-,-,1,-,-,-,1
Viral hepatitis,2019,-,-,-,1,1,-,6,20,19,26,48,51,27,46,37,38,18,-,-,-,-,-,1,1,8,3,15,16,17,21,30,34,44,56
